key,skill,level,level_max,coverage_key,include_in_recommend,ATK_plus,ATK_multi,CRT_plus,CD,WEX_raw_CRT,WEX_soft_CRT,focus_reduce_pct,sheathe_reduce_frames,ELE_plus,ELE_multi,status_plus,status_multi,action_multi,sharpness_effect,condition_note
挑战者|5,挑战者,5,7,agitator,TRUE,20,1,10%,1.25,0%,0%,0,0,0,1,0,1,1,0,怪物愤怒时
挑战者|6,挑战者,6,7,agitator,TRUE,24,1,15%,1.25,0%,0%,0,0,0,1,0,1,1,0,怪物愤怒时
挑战者|7,挑战者,7,7,agitator,TRUE,28,1,20%,1.25,0%,0%,0,0,0,1,0,1,1,0,怪物愤怒时
无伤|0,无伤,0,3,peak,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
无伤|1,无伤,1,3,peak,TRUE,5,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,满血时
无伤|2,无伤,2,3,peak,TRUE,10,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,满血时
无伤|3,无伤,3,3,peak,TRUE,20,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,满血时
怨恨|0,怨恨,0,5,resentment,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,有红血槽时
怨恨|1,怨恨,1,5,resentment,TRUE,5,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,有红血槽时
怨恨|2,怨恨,2,5,resentment,TRUE,10,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,有红血槽时
怨恨|3,怨恨,3,5,resentment,TRUE,15,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,有红血槽时
怨恨|4,怨恨,4,5,resentment,TRUE,20,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,有红血槽时
怨恨|5,怨恨,5,5,resentment,TRUE,25,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,有红血槽时
力量解放|0,力量解放,0,7,latent_power,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
力量解放|1,力量解放,1,7,latent_power,TRUE,0,1,10%,1.25,0%,0%,耐力消耗 -30%,0,0,1,0,1,1,0,技能发动时
力量解放|2,力量解放,2,7,latent_power,TRUE,0,1,20%,1.25,0%,0%,耐力消耗 -30%,0,0,1,0,1,1,0,技能发动时
力量解放|3,力量解放,3,7,latent_power,TRUE,0,1,30%,1.25,0%,0%,耐力消耗 -50%,0,0,1,0,1,1,0,技能发动时
力量解放|4,力量解放,4,7,latent_power,TRUE,0,1,40%,1.25,0%,0%,耐力消耗 -50%,0,0,1,0,1,1,0,技能发动时
力量解放|5,力量解放,5,7,latent_power,TRUE,0,1,50%,1.25,0%,0%,耐力消耗 -50%,0,0,1,0,1,1,0,技能发动时
力量解放|6,力量解放,6,7,latent_power,TRUE,0,1,50%,1.25,0%,0%,耐力消耗 -50%,0,0,1,0,1,1,0,更容易发动
力量解放|7,力量解放,7,7,latent_power,TRUE,0,1,60%,1.25,0%,0%,耐力消耗 -50%,0,0,1,0,1,1,0,更容易发动
精神抖擞|0,精神抖擞,0,5,max_might,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
精神抖擞|1,精神抖擞,1,5,max_might,TRUE,0,1,10%,1.25,0%,0%,0,0,0,1,0,1,1,0,耐力满时
精神抖擞|2,精神抖擞,2,5,max_might,TRUE,0,1,20%,1.25,0%,0%,0,0,0,1,0,1,1,0,耐力满时
精神抖擞|3,精神抖擞,3,5,max_might,TRUE,0,1,30%,1.25,0%,0%,0,0,0,1,0,1,1,0,耐力满时
精神抖擞|4,精神抖擞,4,5,max_might,TRUE,0,1,40%,1.25,0%,0%,0,0,0,1,0,1,1,0,耐力满时
精神抖擞|5,精神抖擞,5,5,max_might,TRUE,0,1,40%,1.25,0%,0%,0,0,0,1,0,1,1,0,维持耐力全满时
火场怪力|0,火场怪力,0,7,heroics,FALSE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
火场怪力|1,火场怪力,1,7,heroics,FALSE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,低血触发；L1 只有防御 +50
火场怪力|2,火场怪力,2,7,heroics,FALSE,0,1.05,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,低血触发
火场怪力|3,火场怪力,3,7,heroics,FALSE,0,1.05,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,低血触发
火场怪力|4,火场怪力,4,7,heroics,FALSE,0,1.1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,低血触发
火场怪力|5,火场怪力,5,7,heroics,FALSE,0,1.15,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,低血触发
火场怪力|6,火场怪力,6,7,heroics,FALSE,0,1.25,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,低血触发
火场怪力|7,火场怪力,7,7,heroics,FALSE,0,1.4,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,低血触发；本作品集当前禁用
不屈|0,不屈,0,1,fortify,FALSE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
不屈|1,不屈,1,1,fortify,FALSE,0,1.1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,力尽倒下后，攻击力 1.1 倍、防御力 1.15 倍
攻击守势|0,攻击守势,0,3,offensive_guard,FALSE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
攻击守势|1,攻击守势,1,3,offensive_guard,FALSE,0,1.05,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,精准防御后发动
攻击守势|2,攻击守势,2,3,offensive_guard,FALSE,0,1.1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,精准防御后发动
攻击守势|3,攻击守势,3,3,offensive_guard,FALSE,0,1.15,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,精准防御后发动
转祸为福|0,转祸为福,0,3,coalescence,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
转祸为福|1,转祸为福,1,3,coalescence,TRUE,12,1,0%,1.25,0%,0%,0,0,30,1,0,1.05,1,0,解除异常/属性异常后
转祸为福|2,转祸为福,2,3,coalescence,TRUE,15,1,0%,1.25,0%,0%,0,0,60,1,0,1.1,1,0,解除异常/属性异常后
转祸为福|3,转祸为福,3,3,coalescence,TRUE,18,1,0%,1.25,0%,0%,0,0,90,1,0,1.15,1,0,解除异常/属性异常后
属性强化|0,属性强化,0,6,always,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
属性强化|1,属性强化,1,6,always,TRUE,0,1,0%,1.25,0%,0%,0,0,30,1,0,1,1,0,对应属性必须匹配
属性强化|2,属性强化,2,6,always,TRUE,0,1,0%,1.25,0%,0%,0,0,60,1,0,1,1,0,对应属性必须匹配
属性强化|3,属性强化,3,6,always,TRUE,0,1,0%,1.25,0%,0%,0,0,100,1,0,1,1,0,对应属性必须匹配
属性强化|4,属性强化,4,6,always,TRUE,0,1,0%,1.25,0%,0%,0,0,100,1.05,0,1,1,0,先 +100，再 ×1.05
属性强化|5,属性强化,5,6,always,TRUE,0,1,0%,1.25,0%,0%,0,0,100,1.1,0,1,1,0,先 +100，再 ×1.10
属性强化|6,属性强化,6,6,always,TRUE,0,1,0%,1.25,0%,0%,0,0,100,1.2,0,1,1,0,先 +100，再 ×1.20
集中|0,集中,0,3,always,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
集中|1,集中,1,3,always,TRUE,0,1,0%,1.25,0%,0%,5%,0,0,1,0,1,1,0,官方百分比；作品集中实测等价每段 -3 帧
集中|2,集中,2,3,always,TRUE,0,1,0%,1.25,0%,0%,10%,0,0,1,0,1,1,0,实测每段 -7 帧
集中|3,集中,3,3,always,TRUE,0,1,0%,1.25,0%,0%,15%,0,0,1,0,1,1,0,实测每段 -10 帧
纳刀术|0,纳刀术,0,3,always,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
纳刀术|1,纳刀术,1,3,always,TRUE,0,1,0%,1.25,0%,0%,0,1,0,1,0,1,1,0,影响循环 DPS，不影响单招伤害
纳刀术|2,纳刀术,2,3,always,TRUE,0,1,0%,1.25,0%,0%,0,3,0,1,0,1,1,0,同上
纳刀术|3,纳刀术,3,3,always,TRUE,0,1,0%,1.25,0%,0%,0,6,0,1,0,1,1,0,同上
